Gene_id	Transcript_id	p.values	adj.p.values	Max_Gene_Tr.p.val	Max_Gene_Tr.Adj.p.val	Mean s1	Mean s2	SD s1	SD s2
ENSG00000273136.7	ENST00000615145.4	0	0	0.358406654660125	0	0.0034890034123091	0.358406654660125	0.00138569458802924	0.0358095770663764
ENSG00000273136.7	ENST00000652444.1	0	0	0.932961082044087	0	0.932961082044087	0.440649621038007	0.0138696698031083	0.042558163280608
ENSG00000197563.11	ENST00000357637.10	0	0	0.688849358216549	0	0.0637028779627618	0.688849358216549	0.0189797248584321	0.0212718974800527
ENSG00000197563.11	ENST00000638183.1	0	0	0.600225572706237	0	0.600225572706237	0.0827680095377038	0.019858887544516	0.00846908998800188
ENSG00000132780.17	ENST00000453748.5	0	0	0.583781832099071	0	0.108502571091086	0.583781832099071	0.0121105144534675	0.0350413434515974
ENSG00000132780.17	ENST00000351223.7	0	0	0.551130270405694	0	0.551130270405694	0.127556256486119	0.0241543537993098	0.0212370695220886
ENSG00000113360.16	ENST00000511367.6	0	0	0.672015085524873	0	0.107883823586974	0.672015085524873	0.0112414129627255	0.0556821234319262
ENSG00000113360.16	ENST00000513349.5	0	0	0.727844269216386	0	0.727844269216386	0.0925777703747948	0.0232918811223526	0.0159166610152786
ENSG00000182899.17	ENST00000429437.5	0	0	0.757639442073435	0	0.107736977810938	0.757639442073435	0.0181550263154818	0.0192685413693391
ENSG00000182899.17	ENST00000448864.6	0	0	0.766297376386541	0	0.766297376386541	0.130107785795995	0.0215040048051595	0.015235590482644
ENSG00000064102.15	ENST00000261191.12	0	0	0.77520714452761	0	0.77520714452761	0.110462317634729	0.025859635555715	0.00954186385395397
ENSG00000064102.15	ENST00000538155.5	0	0	0.787478982259316	0	0.112035977392296	0.787478982259316	0.0216989595593549	0.0175149526385935
ENSG00000128708.13	ENST00000264108.5	0	0	0.876839840929044	0	0.876839840929044	0.10028867829275	0.0319544041982611	0.0185083867358433
ENSG00000128708.13	ENST00000412731.5	0	0	0.87205344245249	0	0.0907373503208697	0.87205344245249	0.0254484208179407	0.0202848321998494
ENSG00000139200.13	ENST00000534837.5	0	0	0.876656688616933	0	0.876656688616933	0.0761051604903367	0.0203947147201394	0.0163522499974032
ENSG00000139200.13	ENST00000540656.5	0	0	0.851065719190056	0	0.114204854476754	0.851065719190056	0.0149519975380968	0.0427764609055129
ENSG00000124151.19	ENST00000371997.3	0	0	0.819457477035277	0	0.112652786216489	0.819457477035277	0.0135907607774527	0.0116113434919566
ENSG00000124151.19	ENST00000371998.8	0	0	0.865628518045712	0	0.865628518045712	0.16604371389415	0.0394278760181532	0.013745032542076
ENSG00000132780.17	ENST00000530073.5	0.000176996857086498	0.0145282217360246	0.0532913655254898	0.0145282217360246	0.0532913655254898	0.0185246491398	0.00722977987483379	0.00580040352422567
ENSG00000197563.11	ENST00000638591.1	0.000279726347794051	0.0221767119258393	0.0413837087378164	0.0221767119258393	0.0413837087378164	0.0143855472724514	0.00630673908122914	0.003985505938147
ENSG00000197563.11	ENST00000640876.1	0.0164496030864362	0.590648418418574	0.0164496030864362	0.590648418418574	0.004316801758386	0.000170335806724555	0.00169891446835554	0.000226484634957404
ENSG00000273136.7	ENST00000615219.4	0.0678854967933324	0.999998773676707	0.13443499122966	0.999998773676707	0.0410184650772837	0.13443499122966	0.0117290878306182	0.0482598144666647
ENSG00000132780.17	ENST00000350030.8	0.108566484070557	0.999998773676707	0.108566484070557	0.999998773676707	0.0663226159304929	0.0465098875567535	0.0081968130885637	0.00931799579257814
ENSG00000197563.11	ENST00000593225.1	0.168421203571281	0.999998773676707	0.168421203571281	0.999998773676707	0.0382579511090267	0.0168152569419827	0.0123953761818368	0.00809764721866171
ENSG00000273136.7	ENST00000651062.1	0.192479177952794	0.999998773676707	0.192479177952794	0.999998773676707	0.0101333219784889	0.0361627662999468	0.00411653183250942	0.0172796218231961
ENSG00000197563.11	ENST00000400334.7	0.207071805180657	0.999998773676707	0.207071805180657	0.999998773676707	0.022911126228181	0.000435927293055895	0.0182217630115178	0.000355826313803846
ENSG00000132780.17	ENST00000530840.5	0.21471854714625	0.999998773676707	0.21471854714625	0.999998773676707	0.0122398000842893	0.00246572434473952	0.00659555282614209	0.00230327057749601
ENSG00000197563.11	ENST00000586566.2	0.220441466657349	0.999998773676707	0.220441466657349	0.999998773676707	0.00236527448620227	0.00023467795049411	0.00149174293635986	0.000209797176727975
ENSG00000139200.13	ENST00000320591.9	0.241150991835952	0.999998773676707	0.241150991835952	0.999998773676707	0.00254815492877026	0.0555592572880809	0.00567763288331253	0.0418823462551487
ENSG00000197563.11	ENST00000638369.1	0.253861574604686	0.999998773676707	0.253861574604686	0.999998773676707	0.0647620596570687	0.0809034868315843	0.0092734513808113	0.0105962526400675
ENSG00000197563.11	ENST00000640540.1	0.262876884353142	0.999998773676707	0.262876884353142	0.999998773676707	0.00202153745159853	0.000222030390682307	0.00128958791551163	0.000219513249267264
ENSG00000182899.17	ENST00000485439.5	0.286640613228095	0.999998773676707	0.286640613228095	0.999998773676707	0.0930147640934554	0.0754431223862941	0.013070503809432	0.0103276185631607
ENSG00000182899.17	ENST00000647248.2	0.305508315512544	0.999998773676707	0.305508315512544	0.999998773676707	0.0250380458643999	0.0320436634895768	0.00450469368811472	0.00501857539655089
ENSG00000197563.11	ENST00000588571.6	0.323901118376475	0.999998773676707	0.323901118376475	0.999998773676707	0.00425863083803443	0.000425083280861757	0.00305114670486218	0.000452896208343963
